Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Philadelphia 76ers,117,Boston Celtics,126,Boston Celtics
Los Angeles Lakers,109,Golden State Warriors,123,Golden State Warriors
Orlando Magic,109,Detroit Pistons,113,Detroit Pistons
Washington Wizards,114,Indiana Pacers,107,Washington Wizards
Houston Rockets,107,Atlanta Hawks,117,Atlanta Hawks
New Orleans Pelicans,130,Brooklyn Nets,108,New Orleans Pelicans
New York Knicks,112,Memphis Grizzlies,115,Memphis Grizzlies
Chicago Bulls,116,Miami Heat,108,Chicago Bulls
Cleveland Cavaliers,105,Toronto Raptors,108,Toronto Raptors
Oklahoma City Thunder,108,Minnesota Timberwolves,115,Minnesota Timberwolves
Charlotte Hornets,129,San Antonio Spurs,102,Charlotte Hornets
Denver Nuggets,102,Utah Jazz,123,Utah Jazz
Dallas Mavericks,105,Phoenix Suns,107,Phoenix Suns
Portland Trail Blazers,115,Sacramento Kings,108,Portland Trail Blazers
Milwaukee Bucks,90,Philadelphia 76ers,88,Milwaukee Bucks
Los Angeles Clippers,103,Los Angeles Lakers,97,Los Angeles Clippers
New Orleans Pelicans,124,Charlotte Hornets,112,New Orleans Pelicans
San Antonio Spurs,137,Indiana Pacers,134,San Antonio Spurs
Chicago Bulls,100,Washington Wizards,102,Washington Wizards
Orlando Magic,98,Atlanta Hawks,108,Atlanta Hawks
Toronto Raptors,105,Brooklyn Nets,109,Brooklyn Nets
Boston Celtics,111,Miami Heat,104,Boston Celtics
Detroit Pistons,106,New York Knicks,130,New York Knicks
Memphis Grizzlies,129,Houston Rockets,122,Memphis Grizzlies
Utah Jazz,132,Minnesota Timberwolves,126,Utah Jazz
Denver Nuggets,128,Golden State Warriors,123,Denver Nuggets
Phoenix Suns,111,Portland Trail Blazers,113,Portland Trail Blazers
San Antonio Spurs,114,Philadelphia 76ers,105,San Antonio Spurs
Detroit Pistons,115,Indiana Pacers,124,Indiana Pacers
Boston Celtics,126,Orlando Magic,120,Boston Celtics
Cleveland Cavaliers,128,Chicago Bulls,96,Cleveland Cavaliers
