win,lose,probability,average,accuracy,accuracy with average,result_guess
Boston Celtics,Philadelphia 76ers,0.5921,0.6947,0.6244,0.6595,0
Golden State Warriors,Los Angeles Lakers,0.8221,0.6947,0.6244,0.6595,1
Detroit Pistons,Orlando Magic,0.5602,0.6947,0.6244,0.6595,0
Washington Wizards,Indiana Pacers,0.657,0.6947,0.6244,0.6595,0
Atlanta Hawks,Houston Rockets,0.8918,0.6947,0.6244,0.6595,1
Brooklyn Nets,New Orleans Pelicans,0.688,0.6947,0.6244,0.6595,1
Memphis Grizzlies,New York Knicks,0.7377,0.6947,0.6244,0.6595,1
Miami Heat,Chicago Bulls,0.6848,0.6947,0.6244,0.6595,1
Toronto Raptors,Cleveland Cavaliers,0.6021,0.6947,0.6244,0.6595,0
Minnesota Timberwolves,Oklahoma City Thunder,0.8541,0.6947,0.6244,0.6595,1
Charlotte Hornets,San Antonio Spurs,0.6096,0.6947,0.6244,0.6595,0
Utah Jazz,Denver Nuggets,0.6351,0.6947,0.6244,0.6595,0
Phoenix Suns,Dallas Mavericks,0.5897,0.6947,0.6244,0.6595,0
Portland Trail Blazers,Sacramento Kings,0.5133,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Milwaukee Bucks,0.61,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Los Angeles Lakers,0.5126,0.6947,0.6244,0.6595,0
Charlotte Hornets,New Orleans Pelicans,0.7185,0.6947,0.6244,0.6595,1
San Antonio Spurs,Indiana Pacers,0.5878,0.6947,0.6244,0.6595,0
Chicago Bulls,Washington Wizards,0.5845,0.6947,0.6244,0.6595,0
Atlanta Hawks,Orlando Magic,0.8653,0.6947,0.6244,0.6595,1
Brooklyn Nets,Toronto Raptors,0.5095,0.6947,0.6244,0.6595,0
Miami Heat,Boston Celtics,0.6066,0.6947,0.6244,0.6595,0
New York Knicks,Detroit Pistons,0.8213,0.6947,0.6244,0.6595,1
Memphis Grizzlies,Houston Rockets,0.8782,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,Utah Jazz,0.5169,0.6947,0.6244,0.6595,0
Golden State Warriors,Denver Nuggets,0.7375,0.6947,0.6244,0.6595,1
Phoenix Suns,Portland Trail Blazers,0.7369,0.6947,0.6244,0.6595,1
Philadelphia 76ers,San Antonio Spurs,0.835,0.6947,0.6244,0.6595,1
Indiana Pacers,Detroit Pistons,0.5935,0.6947,0.6244,0.6595,0
Boston Celtics,Orlando Magic,0.8655,0.6947,0.6244,0.6595,1
Chicago Bulls,Cleveland Cavaliers,0.5823,0.6947,0.6244,0.6595,0
Miami Heat,Toronto Raptors,0.6966,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Houston Rockets,0.9295,0.6947,0.6244,0.6595,1
Dallas Mavericks,Memphis Grizzlies,0.6374,0.6947,0.6244,0.6595,0
Denver Nuggets,Oklahoma City Thunder,0.8638,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Sacramento Kings,0.6715,0.6947,0.6244,0.6595,1
Los Angeles Lakers,Portland Trail Blazers,0.6481,0.6947,0.6244,0.6595,0
Atlanta Hawks,Charlotte Hornets,0.5838,0.6947,0.6244,0.6595,0
Cleveland Cavaliers,Washington Wizards,0.7225,0.6947,0.6244,0.6595,1
Utah Jazz,New Orleans Pelicans,0.6421,0.6947,0.6244,0.6595,0
Minnesota Timberwolves,Oklahoma City Thunder,0.7621,0.6947,0.6244,0.6595,1
Golden State Warriors,Sacramento Kings,0.9011,0.6947,0.6244,0.6595,1
Phoenix Suns,Los Angeles Clippers,0.5729,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Indiana Pacers,0.9025,0.6947,0.6244,0.6595,1
Miami Heat,Toronto Raptors,0.6966,0.6947,0.6244,0.6595,1
New York Knicks,Orlando Magic,0.8273,0.6947,0.6244,0.6595,1
Boston Celtics,Chicago Bulls,0.5127,0.6947,0.6244,0.6595,0
Utah Jazz,Houston Rockets,0.8684,0.6947,0.6244,0.6595,1
Memphis Grizzlies,Brooklyn Nets,0.7151,0.6947,0.6244,0.6595,1
Minnesota Timberwolves,San Antonio Spurs,0.7523,0.6947,0.6244,0.6595,1
Denver Nuggets,Portland Trail Blazers,0.6408,0.6947,0.6244,0.6595,0
Washington Wizards,Detroit Pistons,0.7944,0.6947,0.6244,0.6595,1
Dallas Mavericks,New Orleans Pelicans,0.7075,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Oklahoma City Thunder,0.7456,0.6947,0.6244,0.6595,1
Phoenix Suns,Golden State Warriors,0.558,0.6947,0.6244,0.6595,0
